Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Hourly Observation Table for April 1 2023 to April 30 2023
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Avg Wind Speed,Avg Wind Speed Flag
,deg,deg,ft,,,,CST,m/s,
Fargo,46.90027,-96.83234,902,2023,04,01,100,5.785,
Fargo,46.90027,-96.83234,902,2023,04,01,200,5.079,
Fargo,46.90027,-96.83234,902,2023,04,01,300,4.099,
Fargo,46.90027,-96.83234,902,2023,04,01,400,3.804,
Fargo,46.90027,-96.83234,902,2023,04,01,500,2.922,
Fargo,46.90027,-96.83234,902,2023,04,01,600,2.033,
Fargo,46.90027,-96.83234,902,2023,04,01,700,0.705,
Fargo,46.90027,-96.83234,902,2023,04,01,800,0.273,
Fargo,46.90027,-96.83234,902,2023,04,01,900,1.365,
Fargo,46.90027,-96.83234,902,2023,04,01,1000,1.233,
Fargo,46.90027,-96.83234,902,2023,04,01,1100,1.223,
Fargo,46.90027,-96.83234,902,2023,04,01,1200,1.140,
Fargo,46.90027,-96.83234,902,2023,04,01,1300,2.712,
Fargo,46.90027,-96.83234,902,2023,04,01,1400,3.084,
Fargo,46.90027,-96.83234,902,2023,04,01,1500,3.674,
Fargo,46.90027,-96.83234,902,2023,04,01,1600,4.791,
Fargo,46.90027,-96.83234,902,2023,04,01,1700,4.801,
Fargo,46.90027,-96.83234,902,2023,04,01,1800,4.607,
Fargo,46.90027,-96.83234,902,2023,04,01,1900,4.343,
Fargo,46.90027,-96.83234,902,2023,04,01,2000,4.532,
Fargo,46.90027,-96.83234,902,2023,04,01,2100,5.386,
Fargo,46.90027,-96.83234,902,2023,04,01,2200,5.695,
Fargo,46.90027,-96.83234,902,2023,04,01,2300,5.877,
Fargo,46.90027,-96.83234,902,2023,04,01,2400,6.153,
Fargo,46.90027,-96.83234,902,2023,04,02,100,6.361,
Fargo,46.90027,-96.83234,902,2023,04,02,200,4.613,
Fargo,46.90027,-96.83234,902,2023,04,02,300,5.808,
Fargo,46.90027,-96.83234,902,2023,04,02,400,5.813,
Fargo,46.90027,-96.83234,902,2023,04,02,500,5.623,
Fargo,46.90027,-96.83234,902,2023,04,02,600,4.336,
Fargo,46.90027,-96.83234,902,2023,04,02,700,4.009,
Fargo,46.90027,-96.83234,902,2023,04,02,800,3.303,
Fargo,46.90027,-96.83234,902,2023,04,02,900,2.966,
Fargo,46.90027,-96.83234,902,2023,04,02,1000,1.616,
Fargo,46.90027,-96.83234,902,2023,04,02,1100,4.795,
Fargo,46.90027,-96.83234,902,2023,04,02,1200,3.728,
Fargo,46.90027,-96.83234,902,2023,04,02,1300,3.844,
Fargo,46.90027,-96.83234,902,2023,04,02,1400,3.542,
Fargo,46.90027,-96.83234,902,2023,04,02,1500,3.037,
Fargo,46.90027,-96.83234,902,2023,04,02,1600,4.536,
Fargo,46.90027,-96.83234,902,2023,04,02,1700,5.983,
Fargo,46.90027,-96.83234,902,2023,04,02,1800,4.850,
Fargo,46.90027,-96.83234,902,2023,04,02,1900,2.936,
Fargo,46.90027,-96.83234,902,2023,04,02,2000,3.919,
Fargo,46.90027,-96.83234,902,2023,04,02,2100,5.425,
Fargo,46.90027,-96.83234,902,2023,04,02,2200,5.309,
Fargo,46.90027,-96.83234,902,2023,04,02,2300,5.574,
Fargo,46.90027,-96.83234,902,2023,04,02,2400,5.687,
Fargo,46.90027,-96.83234,902,2023,04,03,100,4.817,
Fargo,46.90027,-96.83234,902,2023,04,03,200,7.539,
Fargo,46.90027,-96.83234,902,2023,04,03,300,6.939,
Fargo,46.90027,-96.83234,902,2023,04,03,400,5.726,
Fargo,46.90027,-96.83234,902,2023,04,03,500,5.769,
Fargo,46.90027,-96.83234,902,2023,04,03,600,6.167,
Fargo,46.90027,-96.83234,902,2023,04,03,700,5.686,
Fargo,46.90027,-96.83234,902,2023,04,03,800,4.982,
Fargo,46.90027,-96.83234,902,2023,04,03,900,4.414,
Fargo,46.90027,-96.83234,902,2023,04,03,1000,4.396,
Fargo,46.90027,-96.83234,902,2023,04,03,1100,4.750,
Fargo,46.90027,-96.83234,902,2023,04,03,1200,4.557,
Fargo,46.90027,-96.83234,902,2023,04,03,1300,3.815,
Fargo,46.90027,-96.83234,902,2023,04,03,1400,3.785,
Fargo,46.90027,-96.83234,902,2023,04,03,1500,4.393,
Fargo,46.90027,-96.83234,902,2023,04,03,1600,3.697,
Fargo,46.90027,-96.83234,902,2023,04,03,1700,4.139,
Fargo,46.90027,-96.83234,902,2023,04,03,1800,3.785,
Fargo,46.90027,-96.83234,902,2023,04,03,1900,3.681,
Fargo,46.90027,-96.83234,902,2023,04,03,2000,4.080,
Fargo,46.90027,-96.83234,902,2023,04,03,2100,3.730,
Fargo,46.90027,-96.83234,902,2023,04,03,2200,3.731,
Fargo,46.90027,-96.83234,902,2023,04,03,2300,3.774,
Fargo,46.90027,-96.83234,902,2023,04,03,2400,2.795,
Fargo,46.90027,-96.83234,902,2023,04,04,100,2.348,
Fargo,46.90027,-96.83234,902,2023,04,04,200,2.317,
Fargo,46.90027,-96.83234,902,2023,04,04,300,2.431,
Fargo,46.90027,-96.83234,902,2023,04,04,400,2.124,
Fargo,46.90027,-96.83234,902,2023,04,04,500,2.761,
Fargo,46.90027,-96.83234,902,2023,04,04,600,2.765,
Fargo,46.90027,-96.83234,902,2023,04,04,700,2.997,
Fargo,46.90027,-96.83234,902,2023,04,04,800,3.803,
Fargo,46.90027,-96.83234,902,2023,04,04,900,4.280,
Fargo,46.90027,-96.83234,902,2023,04,04,1000,4.582,
Fargo,46.90027,-96.83234,902,2023,04,04,1100,3.690,
Fargo,46.90027,-96.83234,902,2023,04,04,1200,3.367,
Fargo,46.90027,-96.83234,902,2023,04,04,1300,4.557,
Fargo,46.90027,-96.83234,902,2023,04,04,1400,5.240,
Fargo,46.90027,-96.83234,902,2023,04,04,1500,5.981,
Fargo,46.90027,-96.83234,902,2023,04,04,1600,5.939,
Fargo,46.90027,-96.83234,902,2023,04,04,1700,5.539,
Fargo,46.90027,-96.83234,902,2023,04,04,1800,5.647,
Fargo,46.90027,-96.83234,902,2023,04,04,1900,5.296,
Fargo,46.90027,-96.83234,902,2023,04,04,2000,5.118,
