Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Hourly Observation Table for March 1 2025 to March 28 2025
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Avg Sol Rad,Avg Sol Rad Flag
,deg,deg,ft,,,,CST,Lys,
Fargo,46.90027,-96.83234,902,2025,03,01,100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,500,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,600,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,700,0.044,
Fargo,46.90027,-96.83234,902,2025,03,01,800,4.991,
Fargo,46.90027,-96.83234,902,2025,03,01,900,18.246,
Fargo,46.90027,-96.83234,902,2025,03,01,1000,32.098,
Fargo,46.90027,-96.83234,902,2025,03,01,1100,43.414,
Fargo,46.90027,-96.83234,902,2025,03,01,1200,49.003,
Fargo,46.90027,-96.83234,902,2025,03,01,1300,53.792,
Fargo,46.90027,-96.83234,902,2025,03,01,1400,51.307,
Fargo,46.90027,-96.83234,902,2025,03,01,1500,44.274,
Fargo,46.90027,-96.83234,902,2025,03,01,1600,34.033,
Fargo,46.90027,-96.83234,902,2025,03,01,1700,19.115,
Fargo,46.90027,-96.83234,902,2025,03,01,1800,5.820,
Fargo,46.90027,-96.83234,902,2025,03,01,1900,0.329,
Fargo,46.90027,-96.83234,902,2025,03,01,2000,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,2100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,2200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,2300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,01,2400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,500,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,600,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,700,0.038,
Fargo,46.90027,-96.83234,902,2025,03,02,800,2.187,
Fargo,46.90027,-96.83234,902,2025,03,02,900,12.820,
Fargo,46.90027,-96.83234,902,2025,03,02,1000,29.218,
Fargo,46.90027,-96.83234,902,2025,03,02,1100,42.434,
Fargo,46.90027,-96.83234,902,2025,03,02,1200,49.794,
Fargo,46.90027,-96.83234,902,2025,03,02,1300,52.279,
Fargo,46.90027,-96.83234,902,2025,03,02,1400,50.327,
Fargo,46.90027,-96.83234,902,2025,03,02,1500,37.429,
Fargo,46.90027,-96.83234,902,2025,03,02,1600,19.716,
Fargo,46.90027,-96.83234,902,2025,03,02,1700,16.466,
Fargo,46.90027,-96.83234,902,2025,03,02,1800,8.667,
Fargo,46.90027,-96.83234,902,2025,03,02,1900,0.395,
Fargo,46.90027,-96.83234,902,2025,03,02,2000,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,2100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,2200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,2300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,02,2400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,500,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,600,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,700,0.122,
Fargo,46.90027,-96.83234,902,2025,03,03,800,4.113,
Fargo,46.90027,-96.83234,902,2025,03,03,900,13.869,
Fargo,46.90027,-96.83234,902,2025,03,03,1000,30.937,
Fargo,46.90027,-96.83234,902,2025,03,03,1100,42.305,
Fargo,46.90027,-96.83234,902,2025,03,03,1200,50.267,
Fargo,46.90027,-96.83234,902,2025,03,03,1300,52.692,
Fargo,46.90027,-96.83234,902,2025,03,03,1400,50.052,
Fargo,46.90027,-96.83234,902,2025,03,03,1500,43.560,
Fargo,46.90027,-96.83234,902,2025,03,03,1600,32.502,
Fargo,46.90027,-96.83234,902,2025,03,03,1700,20.370,
Fargo,46.90027,-96.83234,902,2025,03,03,1800,7.575,
Fargo,46.90027,-96.83234,902,2025,03,03,1900,0.315,
Fargo,46.90027,-96.83234,902,2025,03,03,2000,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,2100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,2200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,2300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,03,2400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,300,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,400,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,500,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,600,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,700,0.016,
Fargo,46.90027,-96.83234,902,2025,03,04,800,1.222,
Fargo,46.90027,-96.83234,902,2025,03,04,900,3.934,
Fargo,46.90027,-96.83234,902,2025,03,04,1000,6.205,
Fargo,46.90027,-96.83234,902,2025,03,04,1100,10.181,
Fargo,46.90027,-96.83234,902,2025,03,04,1200,15.219,
Fargo,46.90027,-96.83234,902,2025,03,04,1300,13.672,
Fargo,46.90027,-96.83234,902,2025,03,04,1400,10.301,
Fargo,46.90027,-96.83234,902,2025,03,04,1500,8.487,
Fargo,46.90027,-96.83234,902,2025,03,04,1600,7.446,
Fargo,46.90027,-96.83234,902,2025,03,04,1700,4.953,
Fargo,46.90027,-96.83234,902,2025,03,04,1800,1.683,
Fargo,46.90027,-96.83234,902,2025,03,04,1900,0.287,
Fargo,46.90027,-96.83234,902,2025,03,04,2000,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,2100,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,2200,0.000,
Fargo,46.90027,-96.83234,902,2025,03,04,2300,0.000,
