Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Hourly Observation Table for April 1 2023 to April 30 2023
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Avg Wind Speed at 10 m,Avg Wind Speed at 10 m Flag
,deg,deg,ft,,,,CST,mph,
Fargo,46.90027,-96.83234,902,2023,04,01,100,16.399,
Fargo,46.90027,-96.83234,902,2023,04,01,200,14.529,
Fargo,46.90027,-96.83234,902,2023,04,01,300,12.265,
Fargo,46.90027,-96.83234,902,2023,04,01,400,12.030,
Fargo,46.90027,-96.83234,902,2023,04,01,500,9.344,
Fargo,46.90027,-96.83234,902,2023,04,01,600,6.644,
Fargo,46.90027,-96.83234,902,2023,04,01,700,3.722,
Fargo,46.90027,-96.83234,902,2023,04,01,800,2.188,
Fargo,46.90027,-96.83234,902,2023,04,01,900,3.792,
Fargo,46.90027,-96.83234,902,2023,04,01,1000,3.161,
Fargo,46.90027,-96.83234,902,2023,04,01,1100,3.192,
Fargo,46.90027,-96.83234,902,2023,04,01,1200,3.047,
Fargo,46.90027,-96.83234,902,2023,04,01,1300,7.187,
Fargo,46.90027,-96.83234,902,2023,04,01,1400,8.087,
Fargo,46.90027,-96.83234,902,2023,04,01,1500,9.496,
Fargo,46.90027,-96.83234,902,2023,04,01,1600,12.478,
Fargo,46.90027,-96.83234,902,2023,04,01,1700,12.598,
Fargo,46.90027,-96.83234,902,2023,04,01,1800,11.918,
Fargo,46.90027,-96.83234,902,2023,04,01,1900,11.048,
Fargo,46.90027,-96.83234,902,2023,04,01,2000,11.514,
Fargo,46.90027,-96.83234,902,2023,04,01,2100,13.545,
Fargo,46.90027,-96.83234,902,2023,04,01,2200,14.256,
Fargo,46.90027,-96.83234,902,2023,04,01,2300,14.840,
Fargo,46.90027,-96.83234,902,2023,04,01,2400,15.451,
Fargo,46.90027,-96.83234,902,2023,04,02,100,16.146,
Fargo,46.90027,-96.83234,902,2023,04,02,200,11.914,
Fargo,46.90027,-96.83234,902,2023,04,02,300,14.842,
Fargo,46.90027,-96.83234,902,2023,04,02,400,14.565,
